ticker,side,entry_date,exit_date,entry_price,exit_price,stop_price,take_profit_price,hold_days,exit_reason,trade_return_pct,weighted_return_pct,run_id
NFLX,long,2026-03-12,2026-03-16,94.86,95.2,87.2712,109.089,3,end_of_data,0.3584,0.0358,RUN_20260317T112829Z
COST,long,2022-03-31,2022-04-29,551.8122,507.6672,507.6672,634.584,21,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
COST,long,2022-07-29,2022-09-09,508.9843,513.3662,468.2655,585.3319,30,max_hold,0.8609,0.0861,RUN_20260317T112829Z
COST,long,2022-09-13,2022-09-22,507.8266,467.2005,467.2005,584.0006,8,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
COST,long,2022-11-23,2022-12-05,511.8201,470.8745,470.8745,588.5931,8,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
COST,long,2023-02-03,2023-03-01,498.4339,458.5591,458.5591,573.1989,18,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
COST,long,2023-04-19,2023-05-31,477.3109,492.1901,439.1261,548.9076,30,max_hold,3.1173,0.3117,RUN_20260317T112829Z
COST,long,2023-06-02,2023-07-17,490.997,532.0225,451.7172,564.6465,30,max_hold,8.3556,0.8356,RUN_20260317T112829Z
COST,long,2023-07-19,2023-08-29,533.485,523.2051,490.8062,613.5077,30,max_hold,-1.9269,-0.1927,RUN_20260317T112829Z
COST,long,2023-09-01,2023-10-13,533.1337,546.4075,490.483,613.1038,30,max_hold,2.4898,0.249,RUN_20260317T112829Z
COST,long,2023-10-17,2023-11-28,551.3236,573.6391,507.2177,634.0222,30,max_hold,4.0476,0.4048,RUN_20260317T112829Z
COST,long,2023-11-30,2023-12-18,567.6808,652.8329,522.2663,652.8329,13,take_profit,15.0,1.5,RUN_20260317T112829Z
COST,long,2023-12-20,2024-02-02,648.7628,701.7718,596.8618,746.0772,30,max_hold,8.1708,0.8171,RUN_20260317T112829Z
COST,long,2024-02-06,2024-03-19,703.5027,724.2151,647.2225,809.0281,30,max_hold,2.9442,0.2944,RUN_20260317T112829Z
COST,long,2024-05-13,2024-06-25,780.6898,847.5734,718.2346,897.7932,30,max_hold,8.5673,0.8567,RUN_20260317T112829Z
COST,long,2024-06-27,2024-08-08,849.7531,832.8266,781.7728,977.216,30,max_hold,-1.9919,-0.1992,RUN_20260317T112829Z
COST,long,2024-08-28,2024-10-09,903.7939,901.9485,831.4904,1039.363,30,max_hold,-0.2042,-0.0204,RUN_20260317T112829Z
COST,long,2024-10-16,2024-11-26,882.9194,965.1384,812.2858,1015.3573,30,max_hold,9.3122,0.9312,RUN_20260317T112829Z
COST,long,2024-11-29,2025-01-14,961.7508,911.2238,884.8107,1106.0134,30,max_hold,-5.2536,-0.5254,RUN_20260317T112829Z
COST,long,2025-02-10,2025-03-07,1046.266,962.5647,962.5647,1203.2059,19,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
COST,long,2025-05-20,2025-07-02,1025.7306,978.2785,943.6721,1179.5901,30,max_hold,-4.6262,-0.4626,RUN_20260317T112829Z
COST,long,2026-01-21,2026-03-04,958.2908,1006.74,881.6276,1102.0345,30,max_hold,5.0558,0.5056,RUN_20260317T112829Z
COST,long,2026-03-09,2026-03-16,999.63,1001.74,919.6596,1149.5745,6,end_of_data,0.2111,0.0211,RUN_20260317T112829Z
CVX,long,2022-03-31,2022-05-12,139.201,140.2569,128.0649,160.0811,30,max_hold,0.7586,0.0759,RUN_20260317T112829Z
CVX,long,2022-05-25,2022-06-16,148.6482,136.7564,136.7564,170.9455,16,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
CVX,long,2022-09-14,2022-09-23,139.4295,128.2751,128.2751,160.3439,8,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
CVX,long,2022-10-25,2022-12-06,149.9296,150.1727,137.9352,172.419,30,max_hold,0.1621,0.0162,RUN_20260317T112829Z
CVX,long,2023-01-27,2023-02-02,160.8413,147.974,147.974,184.9675,5,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
CVX,long,2023-07-31,2023-09-11,143.3072,147.046,131.8426,164.8033,30,max_hold,2.609,0.2609,RUN_20260317T112829Z
CVX,long,2023-09-13,2023-10-24,150.3235,140.6617,138.2977,172.8721,30,max_hold,-6.4273,-0.6427,RUN_20260317T112829Z
CVX,long,2024-01-26,2024-03-08,134.3149,137.4774,123.5697,154.4621,30,max_hold,2.3546,0.2355,RUN_20260317T112829Z
CVX,long,2024-03-12,2024-04-23,139.266,149.3741,128.1247,160.1559,30,max_hold,7.2581,0.7258,RUN_20260317T112829Z
